facility_id,group,total_residents,acuity_index_raw,acuity_index_harmonised,acuity_index,total_staff,care_staff,support_staff,staff_per_resident,care_ratio,quality_rating,experience_rating,staffing_rating,compliance_rating,overall_rating,quality_score,ln_y,ln_staff,ln_residents,ln_acuity
O1L1,O1,187,2.5828877005347595,0.5276292335115865,0.5276292335115865,282,240,42,1.5080213903743316,0.851063829787234,3,3,3,5,4,3.0,1.0986126220013874,5.641907074484213,5.23110862220218,-0.6393595559301615
O1L2,O1,80,3.0125,0.6708333333333334,0.6708333333333334,117,90,27,1.4625,0.7692307692307693,5,4,3,5,4,4.0,1.3862946111198593,4.762173943344765,4.382026647173881,-0.39923306767540945
O1L3,O1,69,3.0579710144927534,0.6859903381642511,0.6859903381642511,101,83,18,1.463768115942029,0.8217821782178217,5,3,3,5,4,3.6666666666666665,1.2992832568574963,4.615120526742249,4.2341065190900125,-0.376890277918692
O1L4,O1,80,2.7625,0.5875,0.5875,129,106,23,1.6125,0.8217054263565892,4,3,3,4,3,3.3333333333333335,1.203973104325891,4.85981241211361,4.382026647173881,-0.531877330837612
O1L5,O1,63,2.8412698412698414,0.6137566137566138,0.6137566137566138,104,80,24,1.6507936507936507,0.7692307692307693,4,2,3,5,3,3.0,1.0986126220013874,4.644390908756757,4.143134742264548,-0.48815519464426005
O1L6,O1,62,3.096774193548387,0.6989247311827956,0.6989247311827956,87,67,20,1.403225806451613,0.7701149425287356,5,3,3,5,4,3.6666666666666665,1.2992832568574963,4.465908130148836,4.127134401174124,-0.3582107924894117
O1L7,O1,104,2.769230769230769,0.5897435897435898,0.5897435897435898,158,118,40,1.5192307692307692,0.7468354430379747,5,3,2,4,3,3.3333333333333335,1.203973104325891,5.062595039356081,4.644390908756757,-0.5280657345497604
O1L8,O1,58,3.206896551724138,0.735632183908046,0.735632183908046,101,80,21,1.7413793103448276,0.7920792079207921,3,3,3,4,3,3.0,1.0986126220013874,4.615120526742249,4.060443027787798,-0.3070236759208358
O1L9,O1,112,2.892857142857143,0.6309523809523809,0.6309523809523809,198,156,42,1.7678571428571428,0.7878787878787878,5,2,3,4,3,3.3333333333333335,1.203973104325891,5.28826703574504,4.718498880223666,-0.46052330038678735
