facility_id,group,total_residents,acuity_index_raw,acuity_index_harmonised,acuity_index,total_staff,care_staff,support_staff,staff_per_resident,care_ratio,quality_rating,experience_rating,staffing_rating,compliance_rating,overall_rating,quality_score,ln_y,ln_staff,ln_residents,ln_acuity
O2L1,O2,123,6.824561403508772,0.48538011695906436,0.48538011695906436,233,179,54,1.8943089430894309,0.7682403433476395,5,4,3,5,4,4.0,1.3862946111198593,5.451038457857546,4.812184363502499,-0.7228208884672204
O2L2,O2,91,7.1265822784810124,0.510548523206751,0.510548523206751,185,137,48,2.032967032967033,0.7405405405405405,4,4,3,5,4,3.6666666666666665,1.2992832568574963,5.22035583048373,4.510859517505861,-0.6722676368626224
O2L3,O2,90,8.694117647058823,0.6411764705882352,0.6411764705882352,160,127,33,1.7777777777777777,0.79375,4,4,2,5,4,3.3333333333333335,1.203973104325891,5.075173821483827,4.499809681441376,-0.4444489951893068
O2L4,O2,90,7.488636363636363,0.5407196969696969,0.5407196969696969,170,139,31,1.8888888888888888,0.8176470588235294,5,4,3,5,4,4.0,1.3862946111198593,5.1357984429326144,4.499809681441376,-0.6148524052248665
O2L5,O2,100,7.105263157894737,0.5087719298245614,0.5087719298245614,163,121,42,1.63,0.7423312883435583,3,3,3,5,4,3.0,1.0986126220013874,5.093750206941731,4.605170195988091,-0.6757534723327663
O2L6,O2,96,7.941860465116279,0.5784883720930233,0.5784883720930233,174,129,45,1.8125,0.7413793103448276,5,3,3,5,4,3.6666666666666665,1.2992832568574963,5.159055304961655,4.564348201884503,-0.5473351040071839
O2L7,O2,93,7.353658536585366,0.5294715447154471,0.5294715447154471,161,126,35,1.7311827956989247,0.782608695652174,5,3,4,4,4,4.0,1.3862946111198593,5.081404371195643,4.532599503905944,-0.6358739666250462
O2L8,O2,112,7.47,0.5391666666666667,0.5391666666666667,198,144,54,1.7678571428571428,0.7272727272727273,5,4,3,5,4,4.0,1.3862946111198593,5.28826703574504,4.718498880223666,-0.6177286865628461
O2L9,O2,50,7.238095238095238,0.5198412698412699,0.5198412698412699,77,55,22,1.54,0.7142857142857143,2,4,3,5,4,3.0,1.0986126220013874,4.3438054348406965,3.912023025428146,-0.6542298406479997
O2L10,O2,106,6.705263157894737,0.47543859649122805,0.47543859649122805,177,144,33,1.669811320754717,0.8135593220338984,3,4,3,5,4,3.3333333333333335,1.203973104325891,5.176149738223547,4.663439103546029,-0.7435154366300738
O2L11,O2,51,8.063829787234043,0.5886524822695036,0.5886524822695036,114,81,33,2.235294117647059,0.7105263157894737,4,3,3,5,4,3.3333333333333335,1.203973104325891,4.7361984571664255,3.9318256523321686,-0.5299175837878324
O2L12,O2,124,7.370967741935484,0.5309139784946236,0.5309139784946236,213,173,40,1.717741935483871,0.812206572769953,4,3,3,5,4,3.3333333333333335,1.203973104325891,5.361292170404261,4.820281573669553,-0.6331533863894401
O2L13,O2,150,7.6796875,0.556640625,0.556640625,248,197,51,1.6533333333333333,0.7943548387096774,3,3,3,5,4,3.0,1.0986126220013874,5.5134287501972405,5.010635300762923,-0.5858336482812428
O2L14,O2,135,7.881889763779528,0.573490813648294,0.573490813648294,218,175,43,1.614814814814815,0.8027522935779816,4,3,3,5,4,3.3333333333333335,1.203973104325891,5.384495067376245,4.905274785845837,-0.5560116168854824
